EpRewMean,EpThisIter,TimestepsSoFar,EpisodesSoFar,surrgain,optimgain,TimeElapsed,meankl,entloss,ev_tdlam_before,entropy,EpLenMean
113.925,4,494746,5951,0.21866378,0.21866378,1112.3024950027466,0.0042137173,0.0,0.862577810883522,37.607372,113.925
110.9,4,495152,5955,0.1730595,0.1730595,1113.094710111618,0.0040529575,0.0,0.9036577790975571,37.6132,110.9
112.15,4,495648,5959,0.31533253,0.31533253,1113.877643108368,0.014719859,0.0,0.4021012783050537,37.604908,112.15
111.95,5,496243,5964,0.178253,0.178253,1114.6612040996552,0.004548208,0.0,0.8626448512077332,37.606937,111.95
115.5,5,496878,5969,0.18696687,0.18696687,1115.4919390678406,0.0043830383,0.0,0.6963761448860168,37.60523,115.5
114.975,4,497343,5973,0.17103668,0.17103668,1116.3080241680145,0.0044468627,0.0,0.6434460282325745,37.604618,114.975
115.55,4,497814,5977,0.18729237,0.18729237,1117.2514193058014,0.0041978895,0.0,0.7008513510227203,37.596973,115.55
113.575,5,498309,5982,0.18705246,0.18705246,1118.5664582252502,0.0040094256,0.0,0.6819148361682892,37.592236,113.575
117.5,4,498909,5986,0.16988239,0.16988239,1119.8819682598114,0.0049833176,0.0,0.811115100979805,37.585003,117.5
118.075,4,499370,5990,0.1626502,0.1626502,1121.3383769989014,0.0039166687,0.0,0.5641144216060638,37.591064,118.075
121.325,4,499896,5994,0.18077028,0.18077028,1122.2352480888367,0.0045299707,0.0,0.8838200122117996,37.58849,121.325
116.95,4,500246,5998,0.17406403,0.17406403,1123.2324211597443,0.0041296156,0.0,0.7246641516685486,37.590572,116.95
120.65,5,500945,6003,0.19596292,0.19596292,1125.2712931632996,0.004331421,0.0,0.7846245169639587,37.58196,120.65
120.05,4,501406,6007,0.17470966,0.17470966,1126.612918138504,0.0038667289,0.0,0.6226634383201599,37.571888,120.05
119.175,3,501752,6010,0.16558452,0.16558452,1127.7117900848389,0.004196392,0.0,0.654735654592514,37.557453,119.175
118.675,5,502335,6015,0.17362812,0.17362812,1128.7002182006836,0.004340378,0.0,0.6060742437839508,37.54729,118.675
122.525,4,502896,6019,0.17999968,0.17999968,1129.5511841773987,0.0042667696,0.0,0.5572589039802551,37.553032,122.525
122.325,3,503202,6022,0.18959019,0.18959019,1130.3863191604614,0.0040449724,0.0,0.46461009979248047,37.55718,122.325
116.175,5,503697,6027,0.18491532,0.18491532,1131.4184560775757,0.00411275,0.0,0.6751206815242767,37.549885,116.175
116.2,5,504272,6032,0.16084126,0.16084126,1132.2501051425934,0.004004369,0.0,0.7054344713687897,37.552006,116.2
116.2,5,504800,6037,0.15999207,0.15999207,1133.0539820194244,0.003919192,0.0,0.5436318814754486,37.55583,116.2
115.5,4,505343,6041,0.17206663,0.17206663,1134.004940032959,0.004540085,0.0,0.7376261353492737,37.5636,115.5
114.425,5,505882,6046,0.18462473,0.18462473,1134.851870059967,0.004552751,0.0,0.6302099823951721,37.57356,114.425
116.85,4,506426,6050,0.1635966,0.1635966,1135.6962101459503,0.0039586797,0.0,0.7807983011007309,37.56908,116.85
117.025,5,507016,6055,0.1626979,0.1626979,1136.6582181453705,0.004118162,0.0,0.6164766848087311,37.5658,117.025
116.6,3,507416,6058,0.18835026,0.18835026,1138.017480134964,0.0041898466,0.0,0.7357877790927887,37.559208,116.6
116.525,4,507863,6062,0.16858545,0.16858545,1139.0380301475525,0.0049417634,0.0,0.7475627064704895,37.562206,116.525
118.3,4,508344,6066,0.17859043,0.17859043,1139.8603820800781,0.0038380378,0.0,0.5189414024353027,37.556446,118.3
119.2,3,508734,6069,0.18242884,0.18242884,1140.8375811576843,0.004417688,0.0,0.8226741254329681,37.561398,119.2
119.7,4,509180,6073,0.16187893,0.16187893,1141.7829630374908,0.004171308,0.0,0.47833287715911865,37.560505,119.7
118.425,5,509673,6078,0.1785092,0.1785092,1142.8290312290192,0.0039364574,0.0,0.8143282979726791,37.557117,118.425
116.925,6,510364,6084,0.18642133,0.18642133,1143.9464712142944,0.0041168956,0.0,0.7263351082801819,37.564205,116.925
115.45,5,510909,6089,0.17749417,0.17749417,1145.312599182129,0.0039404402,0.0,0.7757757604122162,37.57026,115.45
114.725,4,511334,6093,0.19719544,0.19719544,1146.4204349517822,0.00427696,0.0,0.7895651012659073,37.58021,114.725
115.6,4,511885,6097,0.16200253,0.16200253,1147.8707389831543,0.004303584,0.0,0.308086097240448,37.56975,115.6
115.55,4,512359,6101,0.17011285,0.17011285,1149.1980459690094,0.0041102,0.0,0.6995348930358887,37.56628,115.55
115.15,4,512790,6105,0.16901095,0.16901095,1150.1438982486725,0.004259029,0.0,0.5941467583179474,37.56128,115.15
112.575,5,513348,6110,0.36526293,0.36526293,1151.0311942100525,0.01444036,0.0,0.634076714515686,37.561237,112.575
114.425,4,513881,6114,0.16735965,0.16735965,1152.2992491722107,0.004137625,0.0,0.6246072053909302,37.57134,114.425
112.05,6,514449,6120,0.1627739,0.1627739,1153.6579172611237,0.0039022085,0.0,0.726878821849823,37.564507,112.05
114.3,5,515051,6125,0.18474373,0.18474373,1154.5993881225586,0.004419175,0.0,0.8471900671720505,37.55981,114.3
114.95,5,515624,6130,0.17691869,0.17691869,1155.53427195549,0.004961253,0.0,0.8954332247376442,37.558117,114.95
115.625,4,516153,6134,0.18649244,0.18649244,1156.5120000839233,0.0042022723,0.0,0.5604846775531769,37.569096,115.625
114.35,4,516597,6138,0.17557473,0.17557473,1157.6285738945007,0.0037722837,0.0,0.830971747636795,37.56627,114.35
117.75,3,517069,6141,0.19080882,0.19080882,1158.5278589725494,0.0041180337,0.0,0.7302267849445343,37.575302,117.75
118.15,4,517516,6145,0.1728314,0.1728314,1159.355329990387,0.004429335,0.0,0.6834003031253815,37.57251,118.15
119.85,5,518142,6150,0.19075882,0.19075882,1160.7651450634003,0.0045459913,0.0,0.7679377943277359,37.57239,119.85
116.275,5,518635,6155,0.1793315,0.1793315,1161.722566127777,0.004669638,0.0,0.6249503493309021,37.57544,116.275
117.8,5,519161,6160,0.1985856,0.1985856,1162.5345940589905,0.003960149,0.0,0.7320336103439331,37.57044,117.8
116.725,4,519613,6164,0.17532137,0.17532137,1163.5087020397186,0.0042275195,0.0,0.8474987298250198,37.568974,116.725
118.9,4,520125,6168,0.18893872,0.18893872,1164.5386402606964,0.0040876614,0.0,0.8514018803834915,37.56409,118.9
117.9,4,520616,6172,0.16920805,0.16920805,1165.5249552726746,0.003924952,0.0,0.4873730540275574,37.567432,117.9
118.95,4,521109,6176,0.1813978,0.1813978,1166.5075571537018,0.0043101218,0.0,0.8173546642065048,37.570553,118.95
122.65,3,521603,6179,0.18594572,0.18594572,1167.7615349292755,0.004463824,0.0,0.6731234192848206,37.562428,122.65
122.475,4,522179,6183,0.17460552,0.17460552,1168.739042043686,0.0039608763,0.0,0.7260818481445312,37.567066,122.475
122.625,4,522658,6187,0.18087411,0.18087411,1169.654747247696,0.004185183,0.0,0.8039475083351135,37.56413,122.625
124.3,4,523208,6191,0.18067704,0.18067704,1170.5340631008148,0.0040308195,0.0,0.559404045343399,37.56751,124.3
128.025,3,523649,6194,0.16677254,0.16677254,1171.458992242813,0.0038984,0.0,-0.41852474212646484,37.565304,128.025
129.85,4,524126,6198,0.17486168,0.17486168,1172.2831811904907,0.0045696814,0.0,0.5674332976341248,37.565197,129.85
131.725,4,524634,6202,0.17773053,0.17773053,1173.2335841655731,0.0043433644,0.0,0.6843750774860382,37.570927,131.725
130.925,4,525124,6206,0.1940228,0.1940228,1174.140361070633,0.0043208534,0.0,0.7892604917287827,37.56438,130.925
131.05,6,525858,6212,0.1712279,0.1712279,1175.5067720413208,0.004087255,0.0,0.8862816020846367,37.56044,131.05
125.625,5,526429,6217,0.1654664,0.1654664,1176.4889919757843,0.004276568,0.0,0.6874670386314392,37.554806,125.625
125.65,4,526885,6221,0.19303021,0.19303021,1177.656182050705,0.003950215,0.0,0.6867145895957947,37.5583,125.65
122.1,5,527408,6226,0.1944441,0.1944441,1178.819298028946,0.0040599555,0.0,0.765659436583519,37.559734,122.1
119.625,4,527861,6230,0.18648142,0.18648142,1179.991708278656,0.004273103,0.0,0.8416002839803696,37.55669,119.625
